Date;Open;High;Low;Close;Adj Close;Volume
3.1.2017;4.760000;4.790000;4.750000;4.770000;4.637257;7883000
4.1.2017;4.800000;4.850000;4.790000;4.840000;4.705309;10247100
5.1.2017;4.850000;4.920000;4.830000;4.900000;4.763639;9878400
6.1.2017;4.930000;4.990000;4.900000;4.920000;4.783082;18078800
9.1.2017;4.860000;4.880000;4.780000;4.830000;4.695587;14555100
10.1.2017;4.850000;4.860000;4.810000;4.840000;4.705309;7725100
11.1.2017;4.780000;4.780000;4.740000;4.780000;4.646979;8978200
12.1.2017;4.700000;4.710000;4.660000;4.700000;4.569205;15366500
13.1.2017;4.770000;4.800000;4.710000;4.750000;4.617814;17246200
17.1.2017;4.750000;4.770000;4.700000;4.740000;4.608091;9241400
18.1.2017;4.690000;4.740000;4.680000;4.690000;4.559483;6642200
19.1.2017;4.700000;4.740000;4.700000;4.740000;4.608091;7660700
20.1.2017;4.750000;4.770000;4.710000;4.760000;4.627535;6356100
23.1.2017;4.680000;4.680000;4.620000;4.680000;4.549761;8763000
24.1.2017;4.620000;4.690000;4.600000;4.670000;4.540040;21812500
25.1.2017;4.590000;4.630000;4.580000;4.620000;4.491431;18014400
26.1.2017;4.750000;4.770000;4.680000;4.720000;4.588648;14585100
27.1.2017;4.630000;4.670000;4.610000;4.640000;4.510874;11951600
30.1.2017;4.640000;4.640000;4.510000;4.540000;4.413657;17068400
31.1.2017;4.550000;4.560000;4.500000;4.520000;4.394214;9486300
1.2.2017;4.540000;4.590000;4.520000;4.570000;4.442823;10438800
2.2.2017;4.820000;4.890000;4.770000;4.820000;4.685865;44650800
3.2.2017;4.830000;4.850000;4.790000;4.830000;4.695587;11863100
6.2.2017;4.760000;4.780000;4.730000;4.750000;4.617814;13365300
7.2.2017;4.880000;4.890000;4.840000;4.860000;4.724752;11131500
8.2.2017;4.890000;4.920000;4.860000;4.880000;4.744196;8520700
9.2.2017;4.880000;4.940000;4.880000;4.890000;4.753917;12750800
10.2.2017;4.890000;4.910000;4.860000;4.880000;4.744196;6968600
13.2.2017;4.940000;5.000000;4.930000;4.960000;4.821970;15403800
14.2.2017;4.970000;4.990000;4.950000;4.970000;4.831691;7871400
15.2.2017;4.960000;5.010000;4.950000;5.000000;4.860856;12330400
16.2.2017;5.050000;5.090000;5.040000;5.070000;4.928908;14644500
17.2.2017;5.010000;5.050000;4.990000;5.050000;4.909465;7214600
21.2.2017;5.030000;5.090000;5.030000;5.090000;4.948352;15021200
22.2.2017;5.030000;5.110000;5.010000;5.100000;4.958073;16665000
23.2.2017;5.150000;5.210000;5.110000;5.150000;5.006682;21960700
24.2.2017;5.100000;5.180000;5.090000;5.140000;4.996960;11574400
27.2.2017;5.160000;5.210000;5.140000;5.180000;5.035847;11384900
28.2.2017;5.130000;5.180000;5.120000;5.140000;4.996960;9258700
1.3.2017;5.170000;5.290000;5.170000;5.260000;5.113621;20319300
2.3.2017;5.210000;5.250000;5.200000;5.220000;5.074734;19057200
3.3.2017;5.260000;5.290000;5.230000;5.280000;5.133064;11993000
6.3.2017;5.290000;5.300000;5.260000;5.280000;5.133064;7381800
7.3.2017;5.230000;5.250000;5.210000;5.230000;5.084455;8366700
8.3.2017;5.190000;5.220000;5.160000;5.180000;5.035847;8487400
9.3.2017;5.260000;5.290000;5.250000;5.280000;5.133064;6879600
