Name;Date;Timeband;Yield
Euribor rates;2.1.2015;1 WEEK;-0,02
Euribor rates;2.1.2015;2 WEEKS;-0,011
Euribor rates;2.1.2015;1 MONTH;0,016
Euribor rates;2.1.2015;2 MONTHS;0,044
Euribor rates;2.1.2015;3 MONTHS;0,076
Euribor rates;2.1.2015;6 MONTHS;0,169
Euribor rates;2.1.2015;9 MONTHS;0,243
Euribor rates;2.1.2015;12 MONTHS;0,323
Government Bonds;2.1.2015;10 YEARS;0,611411
Government Bonds;2.1.2015;12 MONTHS;-0,088973
Government Bonds;2.1.2015;2 YEARS;-0,115942
Government Bonds;2.1.2015;5 YEARS;0,059107
Government Bonds;2.1.2015;7 YEARS;0,273335
Government Bonds;2.1.2015;12 YEARS;0,812927
Government Bonds;2.1.2015;15 YEARS;1,056634
Government Bonds;2.1.2015;3 MONTHS;-0,022751
Government Bonds;2.1.2015;6 MONTHS;-0,049902
Government Bonds;2.1.2015;9 MONTHS;-0,071852
Government Bonds;2.1.2015;20 YEARS;1,306117
Government Bonds;2.1.2015;25 YEARS;1,405797
Government Bonds;2.1.2015;30 YEARS;1,415258
Euribor rates;5.1.2015;1 WEEK;-0,024
Euribor rates;5.1.2015;2 WEEKS;-0,014
Euribor rates;5.1.2015;1 MONTH;0,015
Euribor rates;5.1.2015;2 MONTHS;0,043
Euribor rates;5.1.2015;3 MONTHS;0,075
Euribor rates;5.1.2015;6 MONTHS;0,169
Euribor rates;5.1.2015;9 MONTHS;0,241
Euribor rates;5.1.2015;12 MONTHS;0,321
Government Bonds;5.1.2015;10 YEARS;0,591801
Government Bonds;5.1.2015;12 MONTHS;-0,08687
Government Bonds;5.1.2015;2 YEARS;-0,11369
Government Bonds;5.1.2015;5 YEARS;0,055208
Government Bonds;5.1.2015;7 YEARS;0,263106
Government Bonds;5.1.2015;12 YEARS;0,78799
Government Bonds;5.1.2015;15 YEARS;1,025534
Government Bonds;5.1.2015;3 MONTHS;-0,022004
Government Bonds;5.1.2015;6 MONTHS;-0,048564
Government Bonds;5.1.2015;9 MONTHS;-0,070065
Government Bonds;5.1.2015;20 YEARS;1,26919
Government Bonds;5.1.2015;25 YEARS;1,366958
Government Bonds;5.1.2015;30 YEARS;1,376671
Euribor rates;6.1.2015;1 WEEK;-0,028
Euribor rates;6.1.2015;2 WEEKS;-0,018
Euribor rates;6.1.2015;1 MONTH;0,015
Euribor rates;6.1.2015;2 MONTHS;0,04
Euribor rates;6.1.2015;3 MONTHS;0,073
Euribor rates;6.1.2015;6 MONTHS;0,168
Euribor rates;6.1.2015;9 MONTHS;0,24
Euribor rates;6.1.2015;12 MONTHS;0,319
Government Bonds;6.1.2015;10 YEARS;0,530988
Government Bonds;6.1.2015;12 MONTHS;-0,081262
Government Bonds;6.1.2015;2 YEARS;-0,107605
Government Bonds;6.1.2015;5 YEARS;0,043906
Government Bonds;6.1.2015;7 YEARS;0,23268
Government Bonds;6.1.2015;12 YEARS;0,708587
Government Bonds;6.1.2015;15 YEARS;0,922817
Government Bonds;6.1.2015;3 MONTHS;-0,020038
Government Bonds;6.1.2015;6 MONTHS;-0,045025
Government Bonds;6.1.2015;9 MONTHS;-0,06532
Government Bonds;6.1.2015;20 YEARS;1,14071
Government Bonds;6.1.2015;25 YEARS;1,226194
Government Bonds;6.1.2015;30 YEARS;1,232496
Euribor rates;7.1.2015;1 WEEK;-0,033
Euribor rates;7.1.2015;2 WEEKS;-0,024
Euribor rates;7.1.2015;1 MONTH;0,012
Euribor rates;7.1.2015;2 MONTHS;0,038
Euribor rates;7.1.2015;3 MONTHS;0,07
Euribor rates;7.1.2015;6 MONTHS;0,168
Euribor rates;7.1.2015;9 MONTHS;0,241
Euribor rates;7.1.2015;12 MONTHS;0,319
Government Bonds;7.1.2015;10 YEARS;0,564407
Government Bonds;7.1.2015;12 MONTHS;-0,091803
Government Bonds;7.1.2015;2 YEARS;-0,116792
Government Bonds;7.1.2015;5 YEARS;0,060279
Government Bonds;7.1.2015;7 YEARS;0,261942
Government Bonds;7.1.2015;12 YEARS;0,738205
Government Bonds;7.1.2015;15 YEARS;0,945115
Government Bonds;7.1.2015;3 MONTHS;-0,02422
Government Bonds;7.1.2015;6 MONTHS;-0,052263
Government Bonds;7.1.2015;9 MONTHS;-0,074634
Government Bonds;7.1.2015;20 YEARS;1,164678
Government Bonds;7.1.2015;25 YEARS;1,278585
Government Bonds;7.1.2015;30 YEARS;1,334876
Euribor rates;8.1.2015;1 WEEK;-0,036
Euribor rates;8.1.2015;2 WEEKS;-0,028
Euribor rates;8.1.2015;1 MONTH;0,01
Euribor rates;8.1.2015;2 MONTHS;0,038
Euribor rates;8.1.2015;3 MONTHS;0,07
Euribor rates;8.1.2015;6 MONTHS;0,167
Euribor rates;8.1.2015;9 MONTHS;0,241
Euribor rates;8.1.2015;12 MONTHS;0,319
Government Bonds;8.1.2015;10 YEARS;0,59871
Government Bonds;8.1.2015;12 MONTHS;-0,094902
Government Bonds;8.1.2015;2 YEARS;-0,118221
Government Bonds;8.1.2015;5 YEARS;0,074207
Government Bonds;8.1.2015;7 YEARS;0,286069
Government Bonds;8.1.2015;12 YEARS;0,776167
